"fn","m","f","t"
"Ambur",0.29,0.71,14
"Ameer",0.72,0.28,29
"Ameera",0.08,0.92,12
"Ameerah",0.13,0.87,15
"Amel",0.93,0.07,14
"Amelia",0.01,0.99,271
"Amer",0.91,0.09,11
"America",0.25,0.75,61
"Amethyst",0.09,0.91,22
"Ami",0.10,0.90,39
"Amia",0.00,1.00,15
"Amiah",0.07,0.93,15
"Amie",0.00,1.00,73
"Amilia",0.00,1.00,12
"Amin",0.82,0.18,33
"Amina",0.04,0.96,117
"Aminah",0.04,0.96,27
"Aminata",0.11,0.89,45
"Amir",0.91,0.09,195
"Amira",0.01,0.99,83
"Amirah",0.03,0.97,32
"Amit",0.79,0.21,28
"Amiya",0.00,1.00,13
"Ammar",0.84,0.16,31
"Ammon",0.94,0.06,17
"Amna",0.06,0.94,16
"Amos",0.97,0.03,29
"Amr",0.94,0.06,16
"Amrit",0.84,0.16,19
"Amrita",0.00,1.00,12
"Amy",0.02,0.98,1607
"Amya",0.00,1.00,22
"An",0.25,0.75,24
"Ana",0.01,0.99,1116
"Ana Maria",0.00,1.00,14
"Anabel",0.02,0.98,62
"Anabella",0.00,1.00,12
"Anabelle",0.00,1.00,17
"Anahi",0.18,0.82,77
"Anai",0.29,0.71,21
"Anais",0.15,0.85,53
"Anaiya",0.09,0.91,11
"Anakaren",0.29,0.71,14
"Analisa",0.00,1.00,19
"Anamaria",0.06,0.94,18
"Ananda",0.00,1.00,28
"Ananya",0.00,1.00,15
"Anasia",0.00,1.00,13
"Anastacia",0.00,1.00,25
"Anastasia",0.01,0.99,265
"Anastasiya",0.00,1.00,22
"Anaya",0.02,0.98,60
"Anayeli",0.06,0.94,16
"Anders",1.00,0.00,29
"Anderson",0.98,0.02,60
"Andra",0.05,0.95,19
"Andrae",0.91,0.09,11
"Andraya",0.00,1.00,11
"Andre",0.96,0.04,707
"Andrea",0.02,0.98,1964
"Andreana",0.00,1.00,14
"Andrei",0.73,0.27,30
"Andreina",0.00,1.00,18
"Andres",0.97,0.03,526
"Andrew",0.99,0.01,3902
"Andria",0.02,0.98,52
"Andriana",0.00,1.00,18
"Andrianna",0.00,1.00,15
"Andruw",1.00,0.00,13
"Andy",0.92,0.08,693
"Anel",0.76,0.24,17
"Anela",0.08,0.92,12
"Anessa",0.13,0.88,16
"Anette",0.00,1.00,13
"Ange",0.05,0.95,21
"Angel",0.20,0.80,1784
"Angela",0.01,0.99,1972
"Angelena",0.00,1.00,15
"Angelia",0.00,1.00,47
"Angelic",0.00,1.00,22
"Angelica",0.02,0.98,859
"Angelie",0.00,1.00,13
"Angelika",0.00,1.00,31
"Angelina",0.02,0.98,364
"Angeline",0.02,0.98,56
"Angelique",0.02,0.98,188
